fecha	hora	variable with a constant value	random variable with an uniform probability distribution	mi variable sinusoidal 1	Current volume in the tank	Input flow [l/min]	water consumption	electrovalve activation variable
19-07-2018	09:52:50	1.000000	3.170940	0.060230	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:53:50	1.000000	-7.770994	1.161718	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:54:50	1.000000	-0.709250	3.504607	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:55:50	1.000000	3.916451	6.759799	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:56:50	1.000000	-0.293461	10.470133	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:57:50	1.000000	-4.061233	14.114414	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:58:50	1.000000	5.015018	17.180809	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	09:59:50	1.000000	0.394950	19.238608	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:00:50	1.000000	-4.697524	19.998761	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:01:50	1.000000	-0.668315	19.354513	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:02:50	1.000000	8.761711	17.396363	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:03:50	1.000000	9.092240	14.399319	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:04:50	1.000000	-6.645490	10.784359	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:05:50	1.000000	2.490801	7.059246	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:06:50	1.000000	9.363550	3.747193	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:07:50	1.000000	8.590645	1.313377	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:08:50	1.000000	7.728934	0.099656	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:09:50	1.000000	-2.104489	0.276513	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:10:50	1.000000	-6.517575	1.819111	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:11:50	1.000000	-6.021859	4.510772	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:12:50	1.000000	-7.133690	7.973434	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:13:50	1.000000	-2.554627	11.720743	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:14:50	1.000000	-3.851750	15.226365	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:15:50	1.000000	-3.081334	17.997905	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:16:50	1.000000	-4.123524	19.646073	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:17:50	1.000000	-6.669981	19.939389	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:18:50	1.000000	-6.364362	18.836638	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:19:50	1.000000	-0.943330	16.492734	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:20:50	1.000000	0.360413	13.236874	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:21:50	1.000000	3.446400	9.526376	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:22:50	1.000000	-2.187285	5.882381	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:23:50	1.000000	6.540032	2.816756	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:24:50	1.000000	-5.135316	0.760070	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:25:50	1.000000	-5.076819	0.001185	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:26:50	1.000000	-1.198425	0.646703	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:27:50	1.000000	3.317815	2.605951	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:28:50	1.000000	4.651804	6.176415	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:29:50	1.000000	2.016250	9.219006	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:30:50	1.000000	2.096937	12.943989	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:31:50	1.000000	6.281423	16.255472	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:32:50	1.000000	9.128590	18.688318	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:33:50	1.000000	8.001644	19.900826	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:34:50	1.000000	3.007781	19.722688	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:35:50	1.000000	7.964631	18.178922	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:36:50	1.000000	-7.410060	15.486366	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:37:50	1.000000	-1.078152	12.023223	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:38:50	1.000000	6.124250	8.275899	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:39:50	1.000000	-1.449741	4.770735	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:40:50	1.000000	0.493801	2.000058	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:41:50	1.000000	-5.254834	0.353028	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:42:50	1.000000	9.581236	0.069750	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:43:50	1.000000	1.027769	1.296429	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:44:50	1.000000	8.657987	3.730719	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:45:50	1.000000	-4.320227	7.039063	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:46:50	1.000000	4.903431	10.763311	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:47:50	1.000000	-8.076396	14.380350	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:48:50	1.000000	7.159395	17.382127	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:49:50	1.000000	0.442468	19.347027	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:50:50	1.000000	0.855366	19.999071	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:51:50	1.000000	-8.265105	19.246692	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:52:50	1.000000	0.628592	17.195554	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:53:50	1.000000	-5.718419	14.133755	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:54:50	1.000000	4.577965	10.491329	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:55:50	1.000000	-2.044233	6.779894	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:56:50	1.000000	-1.726866	3.520752	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:57:50	1.000000	-0.308093	1.170944	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:58:50	1.000000	6.887046	0.062412	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	10:59:50	1.000000	-2.590389	0.349640	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	11:00:50	1.000000	-5.702812	1.992285	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	11:01:50	1.000000	7.086181	4.759634	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	11:02:50	1.000000	-1.323763	8.262999	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	11:03:50	1.000000	0.504779	12.010333	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	11:04:50	1.000000	-8.356955	15.475305	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	11:05:50	1.000000	-5.930959	18.171266	1000.000000	1000.000000	500.000000	0.000000
19-07-2018	11:06:50	1.000000	0.717507	19.719548	1000.000000	1000.000000	500.000000	0.000000
